path,duration,is_repeat
abrupt_videos\abrupt_1.mp4,17,0
abrupt_videos\abrupt_2.mp4,31,0
abrupt_videos\abrupt_3.mp4,27,1
abrupt_videos\abrupt_3.mp4,27,1
abrupt_videos\abrupt_4.mp4,32,0
abrupt_videos\abrupt_5.mp4,33,0
abrupt_videos\abrupt_6.mp4,31,0
abrupt_videos\abrupt_7.mp4,31,1
abrupt_videos\abrupt_7.mp4,27,1
abrupt_videos\abrupt_8.mp4,24,0
abrupt_videos\abrupt_9.mp4,19,0
abrupt_videos\abrupt_10.mp4,39,0
abrupt_videos\abrupt_11.mp4,29,0
abrupt_videos\abrupt_12.mp4,47,0
abrupt_videos\abrupt_13.mp4,33,0
abrupt_videos\abrupt_14.mp4,22,0
abrupt_videos\abrupt_15.mp4,29,0
abrupt_videos\abrupt_16.mp4,34,0
abrupt_videos\abrupt_17.mp4,27,0
abrupt_videos\abrupt_18.mp4,24,1
abrupt_videos\abrupt_18.mp4,24,1
abrupt_videos\abrupt_19.mp4,36,0
abrupt_videos\abrupt_20.mp4,35,0
abrupt_videos\abrupt_21.mp4,39,0
abrupt_videos\abrupt_22.mp4,34,0
abrupt_videos\abrupt_23.mp4,24,0
abrupt_videos\abrupt_24.mp4,24,0
abrupt_videos\abrupt_25.mp4,41,0
abrupt_videos\abrupt_26.mp4,35,0
abrupt_videos\abrupt_27.mp4,50,0
abrupt_videos\abrupt_28.mp4,48,1
abrupt_videos\abrupt_28.mp4,48,1
abrupt_videos\abrupt_29.mp4,29,0
abrupt_videos\abrupt_30.mp4,36,0
abrupt_videos\abrupt_31.mp4,41,0
abrupt_videos\abrupt_32.mp4,31,0
abrupt_videos\abrupt_33.mp4,57,0
abrupt_videos\abrupt_34.mp4,32,0
abrupt_videos\abrupt_35.mp4,42,0
abrupt_videos\abrupt_36.mp4,19,0
abrupt_videos\abrupt_37.mp4,39,1
abrupt_videos\abrupt_37.mp4,39,1
abrupt_videos\abrupt_38.mp4,20,0
abrupt_videos\abrupt_39.mp4,44,0
abrupt_videos\abrupt_40.mp4,49,0
