participant,group,encoding_time_min,vigilance_pass,accuracy,REC,LDI,mean_rt,BB_accuracy,EM_accuracy,mean_confidence,Sub ID,Age,Gender ,Handedness,Vision
14.0,NB,25.215267725000256,True,0.825,0.825,0.825,6.433024412498344,0.9,0.75,4.5,sub14_NB,21.0,Female,Right handed,Normal
15.0,NB,25.257483870000094,True,0.8,0.8,0.8,4.913454105002165,0.75,0.85,4.275,sub15_NB,24.0,Male,Right handed,Normal
16.0,NB,25.03943786999977,True,0.675,0.675,0.675,6.249812934998772,0.75,0.6,3.875,sub16_NB,21.0,Female,Left Handed,Corrected to normal
17.0,NB,25.15524791666685,True,0.975,0.975,0.975,5.914260652501253,0.95,1.0,4.325,sub17_NB ,,,,
18.0,NB,25.310785115000428,True,0.95,0.95,0.95,4.1020021850032204,0.9,1.0,4.125,sub18_NB,20.0,Female,Right handed,Normal
19.0,NB,25.39196396,True,0.925,0.925,0.925,3.6123558174999912,1.0,0.85,4.85,sub19_NB ,,,,
21.0,NB,26.218204271666664,True,0.875,0.875,0.875,7.037956332500039,0.9,0.85,3.875,sub21_NB,,,,
22.0,NB,25.15580955833334,True,0.925,0.925,0.925,6.032438907499932,0.9,0.95,4.075,sub22_NB,25.0,Female,Right handed,Normal
23.0,AB,25.322630386666667,True,0.825,0.825,0.825,4.630832950000058,0.7,0.95,3.725,sub23_AB,21.0,Female,Right handed,Normal
24.0,NB,25.13022465833331,True,0.9,0.9,0.9,3.883507074999943,0.85,0.95,4.7,sub24_NB,22.0,Male,Right handed,Normal
25.0,AB,25.252580428333324,True,0.875,0.875,0.875,7.550236340000083,0.9,0.85,4.275,sub25_AB,20.0,Male,Right handed,Corrected to normal
26.0,AB,25.355647924999964,True,0.925,0.925,0.925,4.4982109199998375,0.9,0.95,2.9,sub26_AB,23.0,Female,Right handed,Normal
27.0,AB,25.297517671666657,True,0.925,0.925,0.925,4.587174685000173,0.9,0.95,4.125,sub27_AB,21.0,Female,Right handed,Normal
28.0,AB,25.161605941666675,True,0.95,0.95,0.95,11.632787677500255,0.95,0.95,4.85,sub28_AB,20.0,Female,Right handed,Corrected to normal
29.0,AB,25.281721215000047,True,0.85,0.85,0.85,7.372763917500015,0.75,0.95,4.3,sub29_AB,,,,
30.0,AB,25.721763026666668,True,0.775,0.775,0.775,4.8228026900002074,0.75,0.8,4.3,sub30_AB,20.0,Male,Right handed,Normal
31.0,AB,26.254671118333498,True,0.85,0.85,0.85,6.063545314999283,0.85,0.85,4.525,sub31_AB,24.0,Male,Right handed,Normal
32.0,AB,27.334458296666707,True,0.925,0.925,0.925,5.501531177499419,0.95,0.9,4.525,sub32_AB,19.0,Female,Right handed,Corrected to normal
33.0,AB,25.193315854999916,True,0.825,0.825,0.825,6.304348355000911,0.85,0.8,4.45,sub33_AB,23.0,Male,Right handed,Normal
34.0,AB,25.393192306666847,True,0.85,0.85,0.85,4.655941097500909,0.9,0.8,3.575,sub34_AB,22.0,Female,Right handed,Corrected to normal
35.0,AB,25.11977458333325,True,0.9,0.9,0.9,4.313216292497964,0.9,0.9,4.775,sub35_AB,26.0,Male,Right handed,Normal
36.0,AB,27.766397231666634,True,0.9,0.9,0.9,4.956652182502149,0.9,0.9,4.5,sub36_AB,23.0,Male,Right handed,Corrected to normal
37.0,AB,25.351767516666587,True,0.825,0.825,0.825,6.330644242499693,0.9,0.75,3.4,sub37_AB,21.0,Female,Right handed,Normal
38.0,AB,25.393855721666476,True,0.825,0.825,0.825,5.87346181249959,0.8,0.85,4.75,Sub38_AB,20.0,Female,Right handed,Normal
