participant,group,vigilance_pass,target_type,correct,rt,confidence
14.0,NB,True,BB,1.0,6.511447400000179,4.0
14.0,NB,True,BB,1.0,4.771427200001199,5.0
14.0,NB,True,EM,1.0,3.026779899984831,5.0
14.0,NB,True,EM,0.0,5.870088199997554,2.0
14.0,NB,True,EM,1.0,3.562519300001441,5.0
14.0,NB,True,BB,0.0,11.116804899997078,5.0
14.0,NB,True,BB,1.0,6.1778035999741405,5.0
14.0,NB,True,BB,1.0,5.715141799999401,5.0
14.0,NB,True,BB,1.0,4.103057100001024,5.0
14.0,NB,True,EM,1.0,2.588722000014968,5.0
14.0,NB,True,EM,1.0,2.476622300018789,5.0
14.0,NB,True,EM,0.0,11.921306900010675,3.0
14.0,NB,True,EM,1.0,13.620191399997566,3.0
14.0,NB,True,EM,1.0,6.8055809999932535,4.0
14.0,NB,True,BB,0.0,6.926605799992103,3.0
14.0,NB,True,BB,1.0,4.745308099983959,3.0
14.0,NB,True,BB,1.0,2.341109400003916,5.0
14.0,NB,True,EM,1.0,3.1530142000119668,5.0
14.0,NB,True,EM,0.0,20.457897499989485,3.0
14.0,NB,True,EM,1.0,5.588252000015928,5.0
14.0,NB,True,BB,1.0,3.51197819999652,5.0
14.0,NB,True,BB,1.0,14.217584300000452,1.0
14.0,NB,True,BB,1.0,4.415137899981346,5.0
14.0,NB,True,BB,1.0,4.913838700013002,5.0
14.0,NB,True,EM,1.0,4.342418700020062,5.0
14.0,NB,True,BB,1.0,3.686887599993497,5.0
14.0,NB,True,EM,1.0,3.926182700000936,5.0
14.0,NB,True,BB,1.0,2.4077823999978136,5.0
14.0,NB,True,EM,0.0,28.51153190000332,5.0
14.0,NB,True,EM,1.0,3.592228499997873,5.0
14.0,NB,True,BB,1.0,9.542534800013527,5.0
14.0,NB,True,EM,1.0,4.865318500000285,5.0
14.0,NB,True,EM,0.0,12.110199199989438,4.0
14.0,NB,True,BB,1.0,6.190622199996142,5.0
14.0,NB,True,EM,1.0,3.0815512999834027,5.0
14.0,NB,True,BB,1.0,2.854572699987329,5.0
14.0,NB,True,EM,1.0,3.790915299992776,5.0
14.0,NB,True,BB,1.0,4.21294259998831,5.0
14.0,NB,True,EM,1.0,2.939841699990211,5.0
14.0,NB,True,BB,1.0,2.7272272999980487,5.0
15.0,NB,True,BB,0.0,4.207896999985678,5.0
15.0,NB,True,EM,1.0,2.258630500000436,5.0
15.0,NB,True,BB,1.0,5.55581700001494,5.0
15.0,NB,True,EM,1.0,9.84242830000585,4.0
15.0,NB,True,EM,0.0,1.8804536000243388,5.0
15.0,NB,True,EM,1.0,5.296391000010772,5.0
15.0,NB,True,BB,1.0,6.885333800018998,3.0
15.0,NB,True,BB,0.0,3.158073800004786,3.0
15.0,NB,True,BB,1.0,4.806526000000304,3.0
15.0,NB,True,BB,1.0,3.753486600005999,5.0
15.0,NB,True,EM,1.0,2.315148699999554,5.0
15.0,NB,True,EM,1.0,3.0375771000108216,5.0
15.0,NB,True,EM,1.0,4.762678500002949,2.0
15.0,NB,True,BB,1.0,4.704587099986384,5.0
15.0,NB,True,BB,1.0,3.2905784000176936,5.0
15.0,NB,True,BB,1.0,5.65854100001161,4.0
15.0,NB,True,EM,1.0,4.145430600008695,2.0
15.0,NB,True,BB,1.0,7.194627100019716,5.0
15.0,NB,True,BB,1.0,3.5532525999879,5.0
15.0,NB,True,EM,1.0,3.0924560999847017,5.0
15.0,NB,True,EM,1.0,8.835935499984771,3.0
15.0,NB,True,BB,1.0,5.284348200017121,5.0
15.0,NB,True,EM,1.0,3.039890199986985,5.0
15.0,NB,True,EM,1.0,2.404329999990296,3.0
15.0,NB,True,EM,1.0,7.521309100004146,5.0
