subject_id,condition,REC
sub100,AB,0.975
sub101,AB,0.825
sub102,AB,0.85
sub103,AB,0.85
sub104,AB,0.825
sub105,AB,0.75
sub106,AB,0.725
sub107,AB,0.95
sub108,AB,0.75
sub109,AB,0.8
sub110,AB,0.825
sub111,AB,0.875
sub112,AB,0.775
sub113,AB,0.875
sub114,AB,0.85
sub115,AB,0.9
sub116,AB,0.9
sub117,AB,0.7
sub118,AB,0.975
sub119,AB,0.9
sub120,AB,0.9
sub121,AB,0.9
sub122,AB,0.825
sub123,AB,0.9
sub124,AB,0.9
sub125,AB,0.85
sub126,AB,0.775
sub127,AB,0.925
sub128,AB,0.7
sub129,AB,0.825
sub130,AB,0.875
sub131,AB,0.95
sub132,AB,0.6
sub133,AB,0.9
sub134,AB,0.825
sub135,AB,0.75
sub136,AB,0.9
sub137,AB,0.875
sub138,AB,0.7
sub139,AB,0.95
sub14,NB,0.825
sub140,AB,0.8
sub141,AB,0.825
sub142,AB,0.575
sub143,AB,0.775
sub144,AB,0.925
sub145,AB,0.775
sub146,AB,0.75
sub147,AB,0.8
sub148,AB,0.725
sub149,AB,0.775
sub15,NB,0.8
sub150,NB,0.85
sub152,NB,0.8
sub153,NB,0.7
sub154,NB,0.95
sub155,NB,0.875
sub156,NB,0.95
sub157,AB,0.85
sub158,NB,0.825
sub159,NB,0.825
sub16,NB,0.675
sub160,NB,0.75
sub162,NB,0.825
sub163,NB,0.95
sub164,NB,0.825
sub165,NB,0.875
sub166,NB,0.925
sub167,NB,0.95
sub168,NB,0.975
sub169,NB,0.875
sub17,NB,0.975
sub170,NB,0.9
sub171,NB,0.725
sub172,NB,0.875
sub173,NB,0.8
sub174,NB,0.95
sub175,NB,0.9
sub176,NB,0.65
sub177,NB,0.95
sub178,NB,0.825
sub179,NB,0.85
sub18,NB,0.95
sub180,NB,0.9
sub181,NB,0.925
sub182,NB,0.85
sub183,NB,0.875
sub184,NB,0.775
sub185,NB,0.9
sub19,NB,0.925
sub21,NB,0.875
sub22,NB,0.925
sub23,AB,0.825
sub24,NB,0.9
sub25,AB,0.875
sub26,AB,0.925
sub27,AB,0.925
sub28,AB,0.95
sub29,AB,0.85
sub30,AB,0.775
sub31,AB,0.85
sub33,AB,0.825
sub34,AB,0.85
sub35,AB,0.9
sub37,AB,0.825
sub38,AB,0.825
sub39,AB,0.9
sub40,AB,0.775
sub44,NB,0.9
sub45,NB,1.0
sub46,NB,0.975
sub47,NB,0.825
sub48,NB,0.875
sub49,NB,0.9
sub50,NB,0.875
sub51,NB,0.85
sub52,NB,0.9
sub53,NB,0.95
sub54,NB,0.875
sub55,NB,0.9
sub56,NB,0.825
sub57,NB,0.85
sub58,NB,0.85
sub59,NB,0.825
sub60,NB,0.9
sub61,NB,0.825
sub62,NB,0.95
sub63,NB,0.875
sub64,NB,0.975
sub65,NB,0.9
sub66,NB,0.725
sub67,NB,0.825
sub68,NB,0.95
sub69,NB,0.8
sub70,NB,0.9
sub71,NB,0.9
sub72,NB,0.925
sub73,NB,0.9
sub74,NB,0.975
sub75,NB,0.825
sub76,NB,0.9
sub77,NB,0.725
sub78,NB,0.95
sub79,NB,0.725
sub80,NB,0.875
sub81,NB,0.875
sub82,NB,0.875
sub83,NB,0.95
sub84,NB,0.825
sub85,NB,0.875
sub86,NB,0.85
sub87,NB,0.825
sub88,AB,0.875
sub89,AB,0.825
sub90,AB,0.975
sub91,AB,0.975
sub92,AB,0.9
sub93,AB,0.9
sub94,AB,0.675
sub95,AB,0.85
sub96,AB,0.775
sub97,AB,0.85
sub98,AB,0.75
sub99,AB,0.825
