subject_id,condition,frame_type,REC
sub100,AB,BB,1.0
sub100,AB,EM,0.95
sub101,AB,BB,0.65
sub101,AB,EM,1.0
sub102,AB,BB,0.8
sub102,AB,EM,0.9
sub103,AB,BB,0.85
sub103,AB,EM,0.85
sub104,AB,BB,0.85
sub104,AB,EM,0.8
sub105,AB,BB,0.7
sub105,AB,EM,0.8
sub106,AB,BB,0.7
sub106,AB,EM,0.75
sub107,AB,BB,0.9
sub107,AB,EM,1.0
sub108,AB,BB,0.75
sub108,AB,EM,0.75
sub109,AB,BB,0.8
sub109,AB,EM,0.8
sub110,AB,BB,0.9
sub110,AB,EM,0.75
sub111,AB,BB,0.8
sub111,AB,EM,0.95
sub112,AB,BB,0.75
sub112,AB,EM,0.8
sub113,AB,BB,0.8
sub113,AB,EM,0.95
sub114,AB,BB,0.85
sub114,AB,EM,0.85
sub115,AB,BB,0.85
sub115,AB,EM,0.95
sub116,AB,BB,0.85
sub116,AB,EM,0.95
sub117,AB,BB,0.7
sub117,AB,EM,0.7
sub118,AB,BB,1.0
sub118,AB,EM,0.95
sub119,AB,BB,0.9
sub119,AB,EM,0.9
sub120,AB,BB,0.8
sub120,AB,EM,1.0
sub121,AB,BB,0.85
sub121,AB,EM,0.95
sub122,AB,BB,0.8
sub122,AB,EM,0.85
sub123,AB,BB,0.9
sub123,AB,EM,0.9
sub124,AB,BB,0.85
sub124,AB,EM,0.95
sub125,AB,BB,0.75
sub125,AB,EM,0.95
sub126,AB,BB,0.75
sub126,AB,EM,0.8
sub127,AB,BB,0.9
sub127,AB,EM,0.95
sub128,AB,BB,0.7
sub128,AB,EM,0.7
sub129,AB,BB,0.85
sub129,AB,EM,0.8
sub130,AB,BB,0.85
sub130,AB,EM,0.9
sub131,AB,BB,0.9
sub131,AB,EM,1.0
sub132,AB,BB,0.45
sub132,AB,EM,0.75
sub133,AB,BB,0.95
sub133,AB,EM,0.85
sub134,AB,BB,0.85
sub134,AB,EM,0.8
sub135,AB,BB,0.75
sub135,AB,EM,0.75
sub136,AB,BB,0.95
sub136,AB,EM,0.85
sub137,AB,BB,0.9
sub137,AB,EM,0.85
sub138,AB,BB,0.6
sub138,AB,EM,0.8
sub139,AB,BB,0.9
sub139,AB,EM,1.0
sub14,NB,BB,0.9
sub14,NB,EM,0.75
sub140,AB,BB,0.75
sub140,AB,EM,0.85
sub141,AB,BB,0.8
sub141,AB,EM,0.85
sub142,AB,BB,0.65
sub142,AB,EM,0.5
sub143,AB,BB,0.7
sub143,AB,EM,0.85
sub144,AB,BB,0.95
sub144,AB,EM,0.9
sub145,AB,BB,0.75
sub145,AB,EM,0.8
sub146,AB,BB,0.8
sub146,AB,EM,0.7
sub147,AB,BB,0.8
sub147,AB,EM,0.8
sub148,AB,BB,0.75
sub148,AB,EM,0.7
sub149,AB,BB,0.7
sub149,AB,EM,0.85
sub15,NB,BB,0.75
sub15,NB,EM,0.85
sub150,NB,BB,0.75
sub150,NB,EM,0.95
sub152,NB,BB,0.8
sub152,NB,EM,0.8
sub153,NB,BB,0.65
sub153,NB,EM,0.75
sub154,NB,BB,0.95
sub154,NB,EM,0.95
sub155,NB,BB,0.95
sub155,NB,EM,0.8
sub156,NB,BB,0.95
sub156,NB,EM,0.95
sub157,AB,BB,0.75
sub157,AB,EM,0.95
sub158,NB,BB,0.85
sub158,NB,EM,0.8
sub159,NB,BB,0.8
sub159,NB,EM,0.85
sub16,NB,BB,0.75
sub16,NB,EM,0.6
sub160,NB,BB,0.6
sub160,NB,EM,0.9
sub162,NB,BB,0.8
sub162,NB,EM,0.85
sub163,NB,BB,0.95
sub163,NB,EM,0.95
sub164,NB,BB,0.9
sub164,NB,EM,0.75
sub165,NB,BB,0.85
sub165,NB,EM,0.9
sub166,NB,BB,0.95
sub166,NB,EM,0.9
sub167,NB,BB,1.0
sub167,NB,EM,0.9
sub168,NB,BB,0.95
sub168,NB,EM,1.0
sub169,NB,BB,0.85
sub169,NB,EM,0.9
sub17,NB,BB,0.95
sub17,NB,EM,1.0
sub170,NB,BB,0.9
sub170,NB,EM,0.9
sub171,NB,BB,0.65
sub171,NB,EM,0.8
sub172,NB,BB,0.8
sub172,NB,EM,0.95
sub173,NB,BB,0.75
sub173,NB,EM,0.85
sub174,NB,BB,0.9
sub174,NB,EM,1.0
sub175,NB,BB,0.95
sub175,NB,EM,0.85
sub176,NB,BB,0.6
sub176,NB,EM,0.7
sub177,NB,BB,0.95
sub177,NB,EM,0.95
sub178,NB,BB,0.8
sub178,NB,EM,0.85
sub179,NB,BB,0.85
sub179,NB,EM,0.85
sub18,NB,BB,0.9
sub18,NB,EM,1.0
sub180,NB,BB,0.9
sub180,NB,EM,0.9
sub181,NB,BB,0.9
sub181,NB,EM,0.95
sub182,NB,BB,0.8
sub182,NB,EM,0.9
sub183,NB,BB,0.85
sub183,NB,EM,0.9
sub184,NB,BB,0.8
sub184,NB,EM,0.75
sub185,NB,BB,0.9
sub185,NB,EM,0.9
sub19,NB,BB,1.0
sub19,NB,EM,0.85
sub21,NB,BB,0.9
sub21,NB,EM,0.85
sub22,NB,BB,0.9
sub22,NB,EM,0.95
sub23,AB,BB,0.7
sub23,AB,EM,0.95
sub24,NB,BB,0.85
sub24,NB,EM,0.95
sub25,AB,BB,0.9
sub25,AB,EM,0.85
sub26,AB,BB,0.9
sub26,AB,EM,0.95
sub27,AB,BB,0.9
sub27,AB,EM,0.95
sub28,AB,BB,0.95
sub28,AB,EM,0.95
sub29,AB,BB,0.75
sub29,AB,EM,0.95
sub30,AB,BB,0.75
sub30,AB,EM,0.8
sub31,AB,BB,0.85
sub31,AB,EM,0.85
sub33,AB,BB,0.85
sub33,AB,EM,0.8
sub34,AB,BB,0.9
sub34,AB,EM,0.8
sub35,AB,BB,0.9
sub35,AB,EM,0.9
sub37,AB,BB,0.9
sub37,AB,EM,0.75
sub38,AB,BB,0.8
sub38,AB,EM,0.85
sub39,AB,BB,0.85
sub39,AB,EM,0.95
sub40,AB,BB,0.8
sub40,AB,EM,0.75
sub44,NB,BB,0.9
sub44,NB,EM,0.9
sub45,NB,BB,1.0
sub45,NB,EM,1.0
sub46,NB,BB,0.95
sub46,NB,EM,1.0
sub47,NB,BB,0.8
sub47,NB,EM,0.85
sub48,NB,BB,0.85
sub48,NB,EM,0.9
sub49,NB,BB,0.9
sub49,NB,EM,0.9
sub50,NB,BB,1.0
sub50,NB,EM,0.75
sub51,NB,BB,0.85
sub51,NB,EM,0.85
sub52,NB,BB,0.9
sub52,NB,EM,0.9
sub53,NB,BB,0.95
sub53,NB,EM,0.95
sub54,NB,BB,0.85
sub54,NB,EM,0.9
sub55,NB,BB,0.85
sub55,NB,EM,0.95
sub56,NB,BB,0.85
sub56,NB,EM,0.8
sub57,NB,BB,0.8
sub57,NB,EM,0.9
sub58,NB,BB,0.9
sub58,NB,EM,0.8
sub59,NB,BB,0.8
sub59,NB,EM,0.85
sub60,NB,BB,0.9
sub60,NB,EM,0.9
sub61,NB,BB,0.8
sub61,NB,EM,0.85
sub62,NB,BB,0.95
sub62,NB,EM,0.95
sub63,NB,BB,0.8
sub63,NB,EM,0.95
sub64,NB,BB,1.0
sub64,NB,EM,0.95
sub65,NB,BB,0.9
sub65,NB,EM,0.9
sub66,NB,BB,0.75
sub66,NB,EM,0.7
sub67,NB,BB,0.7
sub67,NB,EM,0.95
sub68,NB,BB,0.95
sub68,NB,EM,0.95
sub69,NB,BB,0.8
sub69,NB,EM,0.8
sub70,NB,BB,0.85
sub70,NB,EM,0.95
sub71,NB,BB,0.95
sub71,NB,EM,0.85
sub72,NB,BB,0.9
sub72,NB,EM,0.95
sub73,NB,BB,0.85
sub73,NB,EM,0.95
sub74,NB,BB,1.0
sub74,NB,EM,0.95
sub75,NB,BB,0.9
sub75,NB,EM,0.75
sub76,NB,BB,0.95
sub76,NB,EM,0.85
sub77,NB,BB,0.6
sub77,NB,EM,0.85
sub78,NB,BB,0.95
sub78,NB,EM,0.95
sub79,NB,BB,0.65
sub79,NB,EM,0.8
sub80,NB,BB,0.9
sub80,NB,EM,0.85
sub81,NB,BB,0.8
sub81,NB,EM,0.95
sub82,NB,BB,0.8
sub82,NB,EM,0.95
sub83,NB,BB,0.9
sub83,NB,EM,1.0
sub84,NB,BB,0.85
sub84,NB,EM,0.8
sub85,NB,BB,0.85
sub85,NB,EM,0.9
sub86,NB,BB,0.8
sub86,NB,EM,0.9
sub87,NB,BB,0.7
sub87,NB,EM,0.95
sub88,AB,BB,0.9
sub88,AB,EM,0.85
sub89,AB,BB,0.85
sub89,AB,EM,0.8
sub90,AB,BB,1.0
sub90,AB,EM,0.95
sub91,AB,BB,1.0
sub91,AB,EM,0.95
sub92,AB,BB,1.0
sub92,AB,EM,0.8
sub93,AB,BB,0.95
sub93,AB,EM,0.85
sub94,AB,BB,0.55
sub94,AB,EM,0.8
sub95,AB,BB,0.9
sub95,AB,EM,0.8
sub96,AB,BB,0.85
sub96,AB,EM,0.7
sub97,AB,BB,0.85
sub97,AB,EM,0.85
sub98,AB,BB,0.7
sub98,AB,EM,0.8
sub99,AB,BB,0.8
sub99,AB,EM,0.85
