subject_id,condition,frame_type,accuracy,n_trials,mean_rt
sub100,AB,BB,1.0,20,9.7823
sub100,AB,EM,0.95,20,9.1835
sub101,AB,BB,0.65,20,6.4287
sub101,AB,EM,1.0,20,5.575
sub102,AB,BB,0.8,20,4.9826
sub102,AB,EM,0.9,20,4.4742
sub103,AB,BB,0.85,20,4.3927
sub103,AB,EM,0.85,20,4.3632
sub104,AB,BB,0.85,20,3.95
sub104,AB,EM,0.8,20,4.1892
sub105,AB,BB,0.7,20,5.8363
sub105,AB,EM,0.8,20,5.8531
sub106,AB,BB,0.7,20,5.3406
sub106,AB,EM,0.75,20,4.2453
sub107,AB,BB,0.9,20,6.5859
sub107,AB,EM,1.0,20,5.89
sub108,AB,BB,0.75,20,5.6222
sub108,AB,EM,0.75,20,6.4722
sub109,AB,BB,0.8,20,6.3081
sub109,AB,EM,0.8,20,6.2324
sub110,AB,BB,0.9,20,4.2748
sub110,AB,EM,0.75,20,4.416
sub111,AB,BB,0.8,20,7.2053
sub111,AB,EM,0.95,20,6.3106
sub112,AB,BB,0.75,20,6.2986
sub112,AB,EM,0.8,20,5.416
sub113,AB,BB,0.8,20,4.1047
sub113,AB,EM,0.95,20,4.1091
sub114,AB,BB,0.85,20,4.8449
sub114,AB,EM,0.85,20,4.5949
sub115,AB,BB,0.85,20,5.8161
sub115,AB,EM,0.95,20,4.866
sub116,AB,BB,0.85,20,4.9815
sub116,AB,EM,0.95,20,5.2257
sub117,AB,BB,0.7,20,3.3681
sub117,AB,EM,0.7,20,3.2884
sub118,AB,BB,1.0,20,3.043
sub118,AB,EM,0.95,20,3.4586
sub119,AB,BB,0.9,20,6.1532
sub119,AB,EM,0.9,20,6.1686
sub120,AB,BB,0.8,20,8.7409
sub120,AB,EM,1.0,20,6.3359
sub121,AB,BB,0.85,20,5.2856
sub121,AB,EM,0.95,20,6.41
sub122,AB,BB,0.8,20,4.8947
sub122,AB,EM,0.85,20,4.6288
sub123,AB,BB,0.9,20,4.1766
sub123,AB,EM,0.9,20,4.9986
sub124,AB,BB,0.85,20,5.0617
sub124,AB,EM,0.95,20,5.2974
sub125,AB,BB,0.75,20,5.1582
sub125,AB,EM,0.95,20,5.0165
sub126,AB,BB,0.75,20,5.1241
sub126,AB,EM,0.8,20,4.3616
