subject_id,condition,accuracy,n_trials,mean_rt,mean_confidence
sub100,AB,0.975,40,9.4829,4.125
sub101,AB,0.825,40,6.0018,4.25
sub102,AB,0.85,40,4.7284,4.1
sub103,AB,0.85,40,4.378,3.5
sub104,AB,0.825,40,4.0696,4.3
sub105,AB,0.75,40,5.8447,3.575
sub106,AB,0.725,40,4.7929,4.475
sub107,AB,0.95,40,6.238,3.85
sub108,AB,0.75,40,6.0472,3.25
sub109,AB,0.8,40,6.2702,3.6
sub110,AB,0.825,40,4.3454,4.55
sub111,AB,0.875,40,6.7579,3.475
sub112,AB,0.775,40,5.8573,3.675
sub113,AB,0.875,40,4.1069,3.5
sub114,AB,0.85,40,4.7199,3.775
sub115,AB,0.9,40,5.341,4.325
sub116,AB,0.9,40,5.1036,4.25
sub117,AB,0.7,40,3.3282,3.7
sub118,AB,0.975,40,3.2508,4.9
sub119,AB,0.9,40,6.1609,4.325
sub120,AB,0.9,40,7.5384,3.875
sub121,AB,0.9,40,5.8478,4.175
sub122,AB,0.825,40,4.7617,4.0
sub123,AB,0.9,40,4.5876,4.775
sub124,AB,0.9,40,5.1795,3.975
sub125,AB,0.85,40,5.0874,4.55
sub126,AB,0.775,40,4.7429,3.875
sub127,AB,0.925,40,5.3343,4.825
sub128,AB,0.7,40,4.3475,3.725
sub129,AB,0.825,40,5.1786,4.1
sub130,AB,0.875,40,4.1167,4.425
sub131,AB,0.95,40,3.5561,4.025
sub132,AB,0.6,40,5.7874,4.275
sub133,AB,0.9,40,5.3717,3.975
sub134,AB,0.825,40,3.739,4.4
sub135,AB,0.75,40,5.0224,3.2
sub136,AB,0.9,40,6.1546,3.7
sub137,AB,0.875,40,6.9527,4.225
sub138,AB,0.7,40,5.6816,3.45
sub139,AB,0.95,40,5.7704,4.025
sub14,NB,0.825,40,6.433,4.5
sub140,AB,0.8,40,5.5566,4.475
sub141,AB,0.825,40,4.8648,3.85
sub142,AB,0.575,40,3.8726,4.425
sub143,AB,0.775,40,3.474,4.675
sub144,AB,0.925,40,5.0192,4.75
sub145,AB,0.775,40,6.1867,4.075
sub146,AB,0.75,40,8.1764,4.025
sub147,AB,0.8,40,6.2448,3.6
sub148,AB,0.725,40,5.3991,3.8
sub149,AB,0.775,40,5.9055,3.625
sub15,NB,0.8,40,4.9135,4.275
sub150,NB,0.85,40,3.7669,4.275
sub152,NB,0.8,40,9.385,3.5
sub153,NB,0.7,40,4.8938,4.225
sub154,NB,0.95,40,4.5339,4.25
sub155,NB,0.875,40,5.4585,4.475
