subject_id,instruction_2.stopped,Videos.stopped,condition,encoding_duration_sec,encoding_duration_min,passes_vigilance
sub100,29.630272899987176,1566.968962199986,AB,1537.3386892999988,25.622311488333313,True
sub101,60.60532269999385,1579.5078495999917,AB,1518.9025268999978,25.315042114999965,True
sub102,17.518625700031407,1506.669122399995,AB,1489.1504966999637,24.819174944999396,True
sub103,15.793674700020349,1543.5894375000498,AB,1527.7957628000295,25.463262713333826,True
sub104,20.261406900011934,1541.763387700019,AB,1521.501980800007,25.358366346666784,True
sub105,19.23806090001017,1581.9229007000104,AB,1562.6848398000002,26.044747330000003,True
sub106,18.60231520002708,1555.5060620000004,AB,1536.9037467999733,25.615062446666222,True
sub107,14.259971100022083,1525.4708501999849,AB,1511.2108790999628,25.18684798499938,True
sub108,19.863248399982695,1590.3602841999964,AB,1570.4970358000137,26.174950596666896,True
sub109,36.601473800023086,1586.5132668000297,AB,1549.9117930000066,25.831863216666775,True
sub110,27.70890559995314,1559.9986417999608,AB,1532.2897362000076,25.538162270000125,True
sub111,24.167034000041895,1574.5243081999945,AB,1550.3572741999526,25.839287903332544,True
sub112,27.009636399976443,1574.9076922999811,AB,1547.8980559000047,25.798300931666745,True
sub113,27.218017200008035,1599.0353780000005,AB,1571.8173607999925,26.196956013333207,True
sub114,20.290661299950443,1588.196500199963,AB,1567.9058389000127,26.13176398166688,True
sub115,19.15611759998137,1539.347525099991,AB,1520.1914075000095,25.33652345833349,True
sub116,22.63257000001613,1534.8152169999669,AB,1512.1826469999507,25.203044116665847,True
sub117,18.459867200057488,1528.5920343000323,AB,1510.1321670999748,25.168869451666247,True
sub118,14.17472240002826,1528.303363599989,AB,1514.1286411999608,25.23547735333268,True
sub119,21.1522636,1557.9161796,AB,1536.763916,25.612731933333336,True
sub120,28.880751900000178,1579.6134038,AB,1550.7326518999998,25.845544198333332,True
sub121,22.108519000000346,1548.5491548999998,AB,1526.4406358999995,25.44067726499999,True
sub122,17.862753399999747,1601.7279090999991,AB,1583.8651556999994,26.39775259499999,True
sub123,18.417286900001272,1542.4315664000003,AB,1524.014279499999,25.40023799166665,True
sub124,28.139408999999432,1533.1238876999996,AB,1504.9844787000002,25.083074645000003,True
sub125,19.592923500000325,1537.9747141999997,AB,1518.3817906999993,25.30636317833332,True
sub126,23.92279899999994,1560.3184791999977,AB,1536.3956801999977,25.60659466999996,True
sub127,16.170057299998007,1535.5895384999967,AB,1519.4194811999987,25.32365801999998,True
sub128,59.83983819999776,1654.440282399999,AB,1594.6004442000012,26.57667407000002,True
