participant_id,condition,accuracy,resp.corr_std,n_trials,mean_rt,median_rt,resp.rt_std,mean_confidence,conf_radio.response_std
Sub41,AB,85.0,0.36162028533978946,40,9.934166607499355,8.728675049998856,4.687235233886446,3.65,1.3502136583063153
Sub43,NB,92.5,0.26674678283691844,40,5.310274947501602,5.185737899999367,2.6132960197239363,4.275,0.9867714774546074
sub100,AB,97.5,0.15811388300841897,40,9.482880237499193,8.479430050007068,4.843396232217209,4.125,1.2022948143083791
sub101,AB,82.5,0.38480764425479264,40,6.001849695001146,5.242409700003918,2.8608092946946475,4.25,1.126601424298216
sub102,AB,85.0,0.36162028533978946,40,4.728354602507897,4.439567749970593,1.8247023420176427,4.1,1.081309747126497
sub103,AB,85.0,0.36162028533978946,40,4.3779745174979325,3.8732350999780465,2.2286109256043827,3.5,1.2608503439122305
sub104,AB,82.5,0.38480764425479264,40,4.069636187500146,3.875715449976269,1.4823018240629273,4.3,1.1140133037920332
sub105,AB,75.0,0.4385290096535146,40,5.844686734999414,5.560465299990028,2.534902239616591,3.575,1.1521996799878493
sub106,AB,72.5,0.45220258677630265,40,4.792938405003224,3.917378850019304,3.1352077375693193,4.475,0.7506407519323329
sub107,AB,95.0,0.22072142786315224,40,6.237957584991818,4.089366700034589,4.932562390962027,3.85,1.0512507812735292
sub108,AB,75.0,0.43852900965351455,40,6.047169695001503,4.4417497999966145,4.1685184448104735,3.25,1.6756169931378435
sub109,AB,80.0,0.40509574683346655,40,6.270248930001981,5.52179954998428,3.5850997746937274,3.6,1.1940021045379383
sub110,AB,82.5,0.3848076442547927,40,4.345379349999712,3.5652537000132725,2.3575961696695753,4.55,0.7493587001820037
sub111,AB,87.5,0.3349320635285418,40,6.757949772498978,5.783678199979477,4.522924929230101,3.475,0.9867714774546074
sub112,AB,77.5,0.4229020617662602,40,5.857310919990414,5.800991950003663,2.7349963760053044,3.675,1.2687061852987807
sub113,AB,87.5,0.3349320635285418,40,4.106889227501233,3.773933750024298,1.6552948511669305,3.5,0.9336995618478524
sub114,AB,85.0,0.3616202853397895,40,4.719904487501481,4.156724700005725,1.9003611191701637,3.775,1.544012421897686
sub115,AB,90.0,0.30382181012509996,40,5.341037039991352,4.487486799975159,2.5613177713770057,4.325,0.6938373414643062
sub116,AB,90.0,0.3038218101251,40,5.1035706674927495,4.0672078499919735,2.8702903695527855,4.25,1.1712364713391021
sub117,AB,70.0,0.4640954808922571,40,3.328212985006394,2.9708367999992333,1.5176425975648336,3.7,1.6044809049530546
sub118,AB,97.5,0.15811388300841897,40,3.2507926425038023,2.8309186499973293,1.7405333867094142,4.9,0.3038218101251004
sub119,AB,90.0,0.3038218101251,40,6.160890085,4.980032749999964,3.8820314645790375,4.325,1.0472797485843368
sub120,AB,90.0,0.30382181012509996,40,7.538409309999929,5.795387499999833,6.11474005537757,3.875,1.4176090379986241
sub121,AB,90.0,0.3038218101251,40,5.847795534999955,4.352903349999906,4.923179071959509,4.175,1.1521996799878493
sub122,AB,82.5,0.38480764425479275,40,4.76173969499987,3.739537900000869,2.830503509430828,4.0,1.2194996872404218
sub123,AB,90.0,0.3038218101251,40,4.587591962499891,3.8685170499993546,2.417485270634487,4.775,0.576794857546691
sub124,AB,90.0,0.30382181012509996,40,5.179515107500265,4.219916200000625,2.9800136757374673,3.975,1.3865193462176781
sub125,AB,85.0,0.36162028533978946,40,5.087380710000025,4.255003149999538,2.65386762856984,4.55,1.131144190405087
sub126,AB,77.5,0.42290206176626033,40,4.7428939800002805,4.060507500000313,2.5498075759748295,3.875,1.3809602753342625
sub127,AB,92.5,0.26674678283691855,40,5.334255719999874,4.860031500000332,2.4015909605031287,4.825,0.4464963318538846
sub128,AB,70.0,0.46409548089225705,40,4.347458812499918,3.2706577499993728,2.5150154635212467,3.725,1.1764243957749085
sub129,AB,82.5,0.38480764425479275,40,5.178570600000239,4.563069949999772,2.3560432468946226,4.1,1.3358949751441485
sub130,AB,87.5,0.3349320635285418,40,4.116744700000163,3.2565030500027206,2.7929256569405068,4.425,0.9306049865682224
sub131,AB,95.0,0.22072142786315224,40,3.5560534525000547,3.0019621000028565,1.5623978280264157,4.025,0.15811388300841892
sub132,AB,60.0,0.4961389383568338,40,5.7874037849993325,4.300138650003646,4.046301290347643,4.275,0.986771477454607
sub133,Unknown,90.0,0.3038218101251,40,5.371699702501791,4.790056250007183,2.0080851378745184,3.975,1.2707256154432354
sub134,AB,82.5,0.38480764425479264,40,3.7390396000002513,3.2211714000004577,1.9282149600617136,4.4,0.6717752982077053
