movie_id,target_img,lure_img
1,frames\Vid1_EM_T.png,frames\Vid1_L.png
2,frames\Vid2_BB_T.png,frames\Vid2_L.png
3,frames\Vid3_BB_T.png,frames\Vid3_L.png
4,frames\Vid4_EM_T.png,frames\Vid4_L.png
5,frames\Vid5_EM_T.png,frames\Vid5_L.png
6,frames\Vid6_BB_T.png,frames\Vid6_L.png
7,frames\Vid7_EM_T.png,frames\Vid7_L.png
8,frames\Vid8_BB_T.png,frames\Vid8_L.png
9,frames\Vid9_EM_T.png,frames\Vid9_L.png
10,frames\Vid10_BB_T.png,frames\Vid10_L.png
11,frames\Vid11_EM_T.png,frames\Vid11_L.png
12,frames\Vid12_EM_T.png,frames\Vid12_L.png
13,frames\Vid13_BB_T.png,frames\Vid13_L.png
14,frames\Vid14_BB_T.png,frames\Vid14_L.png
15,frames\Vid15_BB_T.png,frames\Vid15_L.png
16,frames\Vid16_EM_T.png,frames\Vid16_L.png
17,frames\Vid17_BB_T.png,frames\Vid17_L.png
18,frames\Vid18_EM_T.png,frames\Vid18_L.png
19,frames\Vid19_BB_T.png,frames\Vid19_L.png
20,frames\Vid20_EM_T.png,frames\Vid20_L.png
21,frames\Vid21_BB_T.png,frames\Vid21_L.png
22,frames\Vid22_EM_T.png,frames\Vid22_L.png
23,frames\Vid23_EM_T.png,frames\Vid23_L.png
24,frames\Vid24_BB_T.png,frames\Vid24_L.png
25,frames\Vid25_BB_T.png,frames\Vid25_L.png
26,frames\Vid26_EM_T.png,frames\Vid26_L.png
27,frames\Vid27_BB_T.png,frames\Vid27_L.png
28,frames\Vid28_EM_T.png,frames\Vid28_L.png
29,frames\Vid29_BB_T.png,frames\Vid29_L.png
30,frames\Vid30_EM_T.png,frames\Vid30_L.png
31,frames\Vid31_EM_T.png,frames\Vid31_L.png
32,frames\Vid32_EM_T.png,frames\Vid32_L.png
33,frames\Vid33_BB_T.png,frames\Vid33_L.png
34,frames\Vid34_BB_T.png,frames\Vid34_L.png
35,frames\Vid35_EM_T.png,frames\Vid35_L.png
36,frames\Vid36_BB_T.png,frames\Vid36_L.png
37,frames\Vid37_BB_T.png,frames\Vid37_L.png
38,frames\Vid38_EM_T.png,frames\Vid38_L.png
39,frames\Vid39_BB_T.png,frames\Vid39_L.png
40,frames\Vid40_EM_T.png,frames\Vid40_L.png
